Date	Season	Round	HomeTeam	HomeGoals	HomeBehinds	HomeTotal	AwayTeam	AwayGoals	AwayBehinds	AwayTotal	Ground
2018-03-22	2018	R1	Richmond	17	19	121	Carlton	15	5	95	M.C.G.
2018-03-23	2018	R1	Essendon	14	15	99	Adelaide	12	15	87	Docklands
2018-03-24	2018	R1	St Kilda	16	11	107	Brisbane	12	10	82	Docklands
2018-03-24	2018	R1	Port Adelaide	16	14	110	Fremantle	9	6	60	Adelaide Oval
2018-03-24	2018	R1	Hawthorn	15	11	101	Collingwood	9	13	67	M.C.G.
2018-03-24	2018	R1	Gold Coast	7	13	55	North Melbourne	5	9	39	Cazaly's Stadium
2018-03-25	2018	R1	GW Sydney	20	13	133	Western Bulldogs	7	9	51	Manuka Oval
2018-03-25	2018	R1	Melbourne	13	16	94	Geelong	14	13	97	M.C.G.
2018-03-25	2018	R1	West Coast	13	8	86	Sydney	18	7	115	Perth Stadium
2018-03-29	2018	R2	Adelaide	18	10	118	Richmond	12	10	82	Adelaide Oval
2018-03-30	2018	R2	North Melbourne	13	17	95	St Kilda	5	13	43	Docklands
2018-03-31	2018	R2	Carlton	9	13	67	Gold Coast	15	11	101	Docklands
2018-03-31	2018	R2	Collingwood	12	7	79	GW Sydney	15	5	95	M.C.G.
2018-03-31	2018	R2	Brisbane	10	14	74	Melbourne	14	16	100	Gabba
2018-03-31	2018	R2	Fremantle	16	10	106	Essendon	14	6	90	Perth Stadium
2018-04-01	2018	R2	Western Bulldogs	9	16	70	West Coast	18	13	121	Docklands
2018-04-01	2018	R2	Sydney	10	11	71	Port Adelaide	14	10	94	S.C.G.
2018-04-02	2018	R2	Geelong	18	9	117	Hawthorn	17	16	118	M.C.G.
2018-04-06	2018	R3	Carlton	11	10	76	Collingwood	16	4	100	M.C.G.
2018-04-07	2018	R3	Port Adelaide	14	13	97	Brisbane	14	8	92	Adelaide Oval
2018-04-07	2018	R3	Melbourne	18	15	123	North Melbourne	13	8	86	M.C.G.
2018-04-07	2018	R3	Gold Coast	10	8	68	Fremantle	13	18	96	Perth Stadium
2018-04-07	2018	R3	St Kilda	7	13	55	Adelaide	15	14	104	Docklands
2018-04-07	2018	R3	Sydney	16	7	103	GW Sydney	12	15	87	S.C.G.
2018-04-08	2018	R3	Richmond	15	12	102	Hawthorn	13	11	89	M.C.G.
2018-04-08	2018	R3	Western Bulldogs	14	20	104	Essendon	12	11	83	Docklands
2018-04-08	2018	R3	West Coast	14	11	95	Geelong	11	14	80	Perth Stadium
2018-04-13	2018	R4	Adelaide	9	4	58	Collingwood	16	10	106	Adelaide Oval
2018-04-14	2018	R4	GW Sydney	11	16	82	Fremantle	7	9	51	Manuka Oval
2018-04-14	2018	R4	Richmond	16	14	110	Brisbane	2	5	17	M.C.G.
2018-04-14	2018	R4	Western Bulldogs	11	13	79	Sydney	13	8	86	Docklands
2018-04-14	2018	R4	North Melbourne	18	8	116	Carlton	4	6	30	Bellerive Oval
2018-04-14	2018	R4	West Coast	21	13	139	Gold Coast	9	5	59	Perth Stadium
2018-04-15	2018	R4	Essendon	16	10	106	Port Adelaide	12	12	84	Docklands
2018-04-15	2018	R4	Hawthorn	18	7	115	Melbourne	6	12	48	M.C.G.
2018-04-15	2018	R4	Geelong	15	13	103	St Kilda	7	14	56	Kardinia Park
2018-04-20	2018	R5	Sydney	10	15	75	Adelaide	12	13	85	S.C.G.
2018-04-21	2018	R5	St Kilda	10	13	73	GW Sydney	9	19	73	Docklands
2018-04-21	2018	R5	Carlton	10	9	69	West Coast	10	19	79	M.C.G.
2018-04-21	2018	R5	Port Adelaide	7	8	50	Geelong	12	12	84	Adelaide Oval
2018-04-21	2018	R5	Fremantle	16	12	108	Western Bulldogs	8	6	54	Perth Stadium
2018-04-22	2018	R5	North Melbourne	14	14	98	Hawthorn	11	4	70	Docklands
2018-04-22	2018	R5	Brisbane	10	11	71	Gold Coast	11	10	76	Gabba
2018-04-24	2018	R5	Melbourne	8	8	56	Richmond	15	12	102	M.C.G.
2018-04-25	2018	R5	Collingwood	14	17	101	Essendon	7	10	52	M.C.G.
2018-04-27	2018	R6	Western Bulldogs	11	14	80	Carlton	8	11	59	Docklands
2018-04-28	2018	R6	Geelong	10	9	69	Sydney	12	14	86	Kardinia Park
2018-04-28	2018	R6	North Melbourne	10	9	69	Port Adelaide	15	12	102	Docklands
2018-04-28	2018	R6	GW Sydney	10	17	77	Brisbane	5	13	43	Sydney Showground
2018-04-28	2018	R6	Hawthorn	13	11	89	St Kilda	7	12	54	York Park
2018-04-28	2018	R6	Adelaide	16	14	110	Gold Coast	9	8	62	Adelaide Oval
2018-04-29	2018	R6	Essendon	10	12	72	Melbourne	16	12	108	Docklands
2018-04-29	2018	R6	Collingwood	10	10	70	Richmond	16	17	113	M.C.G.
2018-04-29	2018	R6	Fremantle	12	9	81	West Coast	13	11	89	Perth Stadium
2018-05-04	2018	R7	Geelong	14	9	93	GW Sydney	4	8	32	Kardinia Park
2018-05-05	2018	R7	Western Bulldogs	11	15	81	Gold Coast	10	12	72	Eureka Stadium
2018-05-05	2018	R7	Essendon	10	7	67	Hawthorn	13	12	90	M.C.G.
2018-05-05	2018	R7	West Coast	16	6	102	Port Adelaide	9	6	60	Perth Stadium
2018-05-05	2018	R7	Sydney	9	12	66	North Melbourne	9	14	68	S.C.G.
2018-05-05	2018	R7	Adelaide	19	11	125	Carlton	10	10	70	Adelaide Oval
2018-05-06	2018	R7	Richmond	15	20	110	Fremantle	4	9	33	M.C.G.
2018-05-06	2018	R7	St Kilda	9	13	67	Melbourne	16	10	106	Docklands
2018-05-06	2018	R7	Brisbane	18	6	114	Collingwood	19	7	121	Gabba
2018-05-11	2018	R8	Hawthorn	10	11	71	Sydney	12	7	79	M.C.G.
2018-05-12	2018	R8	GW Sydney	8	13	61	West Coast	12	14	86	Sydney Showground
2018-05-12	2018	R8	Carlton	14	7	91	Essendon	10	18	78	M.C.G.
2018-05-12	2018	R8	Gold Coast	11	11	77	Melbourne	21	20	146	Gabba
2018-05-12	2018	R8	Port Adelaide	14	11	95	Adelaide	14	6	90	Adelaide Oval
2018-05-12	2018	R8	Western Bulldogs	16	11	107	Brisbane	14	9	93	Docklands
2018-05-12	2018	R8	Fremantle	13	11	89	St Kilda	8	11	59	Perth Stadium
2018-05-13	2018	R8	North Melbourne	11	6	72	Richmond	12	10	82	Docklands
2018-05-13	2018	R8	Collingwood	5	15	45	Geelong	9	12	66	M.C.G.
2018-05-18	2018	R9	Adelaide	9	9	63	Western Bulldogs	2	14	26	Adelaide Oval
2018-05-19	2018	R9	Gold Coast	6	6	42	Port Adelaide	11	16	82	Jiangwan Stadium
2018-05-19	2018	R9	North Melbourne	17	10	112	GW Sydney	9	15	69	Bellerive Oval
2018-05-19	2018	R9	Essendon	12	12	84	Geelong	7	8	50	M.C.G.
2018-05-19	2018	R9	St Kilda	10	12	72	Collingwood	15	10	100	Docklands
2018-05-19	2018	R9	Sydney	17	9	111	Fremantle	7	10	52	S.C.G.
2018-05-20	2018	R9	Carlton	7	8	50	Melbourne	25	9	159	M.C.G.
2018-05-20	2018	R9	Brisbane	20	9	129	Hawthorn	11	7	73	Gabba
2018-05-20	2018	R9	West Coast	20	10	130	Richmond	12	11	83	Perth Stadium
2018-05-25	2018	R10	Collingwood	13	12	90	Western Bulldogs	8	7	55	Docklands
2018-05-26	2018	R10	Richmond	15	15	105	St Kilda	12	5	77	M.C.G.
2018-05-26	2018	R10	Brisbane	6	13	49	Sydney	10	7	67	Gabba
2018-05-26	2018	R10	Geelong	11	7	73	Carlton	5	15	45	Kardinia Park
2018-05-26	2018	R10	GW Sydney	8	12	60	Essendon	14	11	95	Sydney Showground
2018-05-27	2018	R10	Hawthorn	9	6	60	West Coast	11	9	75	Docklands
2018-05-27	2018	R10	Melbourne	23	8	146	Adelaide	8	7	55	Traeger Park
2018-05-27	2018	R10	Fremantle	8	10	58	North Melbourne	12	14	86	Perth Stadium
2018-06-01	2018	R11	Sydney	13	13	91	Carlton	9	7	61	S.C.G.
2018-06-02	2018	R11	Western Bulldogs	7	9	51	Melbourne	15	10	100	Docklands
2018-06-02	2018	R11	Hawthorn	9	10	64	Port Adelaide	9	7	61	York Park
2018-06-02	2018	R11	Gold Coast	4	12	36	Geelong	17	19	121	Carrara
2018-06-02	2018	R11	Essendon	6	7	43	Richmond	17	12	114	M.C.G.
2018-06-02	2018	R11	West Coast	16	5	101	St Kilda	14	4	88	Perth Stadium
2018-06-03	2018	R11	North Melbourne	21	15	141	Brisbane	12	15	87	Docklands
2018-06-03	2018	R11	Collingwood	21	12	138	Fremantle	12	5	77	M.C.G.
2018-06-03	2018	R11	Adelaide	11	15	81	GW Sydney	14	13	97	Adelaide Oval
2018-06-08	2018	R12	Port Adelaide	10	12	72	Richmond	8	10	58	Adelaide Oval
2018-06-09	2018	R12	Geelong	14	12	96	North Melbourne	8	11	59	Kardinia Park
2018-06-09	2018	R12	GW Sydney	20	14	134	Gold Coast	4	2	26	Sydney Showground
2018-06-09	2018	R12	St Kilda	7	13	55	Sydney	19	12	126	Docklands
2018-06-10	2018	R12	Brisbane	8	14	62	Essendon	12	12	84	Gabba
2018-06-10	2018	R12	Fremantle	10	11	71	Adelaide	9	14	68	Perth Stadium
2018-06-11	2018	R12	Melbourne	14	7	91	Collingwood	20	13	133	M.C.G.
2018-06-14	2018	R13	Port Adelaide	20	12	132	Western Bulldogs	11	9	75	Adelaide Oval
2018-06-15	2018	R13	Sydney	10	12	72	West Coast	7	15	57	S.C.G.
2018-06-16	2018	R13	Carlton	6	10	46	Fremantle	15	13	103	Docklands
2018-06-16	2018	R13	Gold Coast	11	12	78	St Kilda	11	14	80	Carrara
2018-06-16	2018	R13	Hawthorn	12	16	88	Adelaide	4	8	32	M.C.G.
2018-06-17	2018	R13	Geelong	9	11	65	Richmond	12	11	83	M.C.G.
2018-06-21	2018	R14	West Coast	6	16	52	Essendon	12	8	80	Perth Stadium
2018-06-22	2018	R14	Port Adelaide	11	9	75	Melbourne	9	11	65	Adelaide Oval
2018-06-23	2018	R14	Hawthorn	13	18	96	Gold Coast	5	13	43	York Park
2018-06-23	2018	R14	Brisbane	12	10	82	GW Sydney	16	13	109	Gabba
2018-06-23	2018	R14	Western Bulldogs	11	9	75	North Melbourne	12	5	77	Docklands
2018-06-24	2018	R14	Collingwood	11	13	79	Carlton	9	5	59	M.C.G.
2018-06-28	2018	R15	Richmond	14	9	93	Sydney	11	1	67	Docklands
2018-06-29	2018	R15	Western Bulldogs	16	7	103	Geelong	15	11	101	Docklands
2018-06-30	2018	R15	Carlton	10	9	69	Port Adelaide	13	12	90	M.C.G.
2018-06-30	2018	R15	Adelaide	12	16	88	West Coast	12	6	78	Adelaide Oval
2018-06-30	2018	R15	Gold Coast	8	12	60	Collingwood	14	15	99	Carrara
2018-06-30	2018	R15	GW Sydney	13	17	95	Hawthorn	13	6	84	Sydney Showground
2018-07-01	2018	R15	Melbourne	18	9	117	St Kilda	18	11	119	M.C.G.
2018-07-01	2018	R15	Essendon	19	11	125	North Melbourne	16	12	108	Docklands
2018-07-01	2018	R15	Fremantle	9	10	64	Brisbane	18	11	119	Perth Stadium
2018-07-05	2018	R16	Sydney	9	5	59	Geelong	8	23	71	S.C.G.
2018-07-06	2018	R16	Richmond	15	13	103	Adelaide	8	8	56	M.C.G.
2018-07-07	2018	R16	Brisbane	18	12	120	Carlton	7	13	55	Gabba
2018-07-07	2018	R16	Port Adelaide	12	14	86	St Kilda	7	8	50	Adelaide Oval
2018-07-07	2018	R16	Western Bulldogs	9	5	59	Hawthorn	19	8	122	Docklands
2018-07-07	2018	R16	Melbourne	13	24	102	Fremantle	7	6	48	Marrara Oval
2018-07-08	2018	R16	North Melbourne	14	11	95	Gold Coast	8	10	58	Docklands
2018-07-08	2018	R16	Essendon	9	8	62	Collingwood	12	6	78	M.C.G.
2018-07-08	2018	R16	West Coast	13	8	86	GW Sydney	10	15	75	Perth Stadium
